2026-02-16 21:18:13,766 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 21:18:13,955 | INFO | app | Conexión a la base de datos verificada correctamente
2026-02-16 21:35:22,306 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 21:35:22,449 | INFO | app | Tablas creadas/verificadas correctamente
2026-02-16 21:35:22,452 | INFO | app | Conexión a la base de datos verificada correctamente
2026-02-16 21:37:32,285 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 21:37:32,848 | INFO | app | Tablas creadas/verificadas correctamente
2026-02-16 21:37:32,851 | INFO | app | Conexión a la base de datos verificada correctamente
2026-02-16 21:50:49,810 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 21:50:49,971 | INFO | app | Tablas creadas/verificadas correctamente
2026-02-16 21:50:49,973 | INFO | app | Conexión a la base de datos verificada correctamente
2026-02-16 21:55:33,200 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 21:55:33,430 | INFO | app | Tablas creadas/verificadas correctamente
2026-02-16 21:55:33,432 | INFO | app | Conexión a la base de datos verificada correctamente
2026-02-16 21:56:47,177 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 21:56:47,334 | INFO | app | Tablas creadas/verificadas correctamente
2026-02-16 21:56:47,337 | INFO | app | Conexión a la base de datos verificada correctamente
2026-02-16 21:57:54,315 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 21:57:54,504 | INFO | app | Tablas creadas/verificadas correctamente
2026-02-16 21:57:54,506 | INFO | app | Conexión a la base de datos verificada correctamente
2026-02-16 22:08:15,934 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 22:08:16,072 | INFO | app | Tablas creadas/verificadas correctamente
2026-02-16 22:08:16,075 | INFO | app | Conexión a la base de datos verificada correctamente
2026-02-16 22:09:00,481 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 22:09:00,610 | INFO | app | Tablas creadas/verificadas correctamente
2026-02-16 22:09:00,613 | INFO | app | Conexión a la base de datos verificada correctamente
2026-02-16 22:12:05,134 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 22:14:43,985 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 22:14:44,731 | INFO | app | Tablas creadas/verificadas correctamente
2026-02-16 22:14:44,734 | INFO | app | Conexión a la base de datos verificada correctamente
2026-02-16 22:22:00,503 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 22:22:01,165 | INFO | app | Tablas creadas/verificadas correctamente
2026-02-16 22:22:01,167 | INFO | app | Conexión a la base de datos verificada correctamente
2026-02-16 22:24:52,199 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 22:24:52,765 | INFO | app | Tablas creadas/verificadas correctamente
2026-02-16 22:24:52,769 | INFO | app | Conexión a la base de datos verificada correctamente
2026-02-16 22:25:19,434 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 22:25:20,202 | INFO | app | Tablas creadas/verificadas correctamente
2026-02-16 22:25:20,206 | INFO | app | Conexión a la base de datos verificada correctamente
2026-02-16 22:30:20,411 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 22:30:21,116 | INFO | app | Tablas creadas/verificadas correctamente
2026-02-16 22:30:21,119 | INFO | app | Conexión a la base de datos verificada correctamente
2026-02-16 22:31:59,001 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 22:31:59,570 | INFO | app | Tablas creadas/verificadas correctamente
2026-02-16 22:31:59,572 | INFO | app | Conexión a la base de datos verificada correctamente
2026-02-16 22:32:38,340 | INFO | app | Conexión a PostgreSQL establecida correctamente
2026-02-16 22:32:39,143 | INFO | app | Tablas creadas/verificadas correctamente
2026-02-16 22:32:39,146 | INFO | app | Conexión a la base de datos verificada correctamente
